"Admissions","2015-16","2016-17","2017-18","2018-19","2019-20","2020-21","2021-22","2022-23"
"Applied","20329","22642","24821","29305","29774","28630","39414","42079"
"Offered","14896","16388","17314","18743","20401","19381","23219","24248"
"Enrolled","5886","5631","6358","5866","7144","6513","6664","6934"
"Offered Rate","73.3","72.4","69.8","64","68.5","67.7","58.9","57.6"
"Yield","39.5","34.4","36.7","31.3","35","33.6","28.7","28.6"
