"Admissions","2015-16","2016-17","2017-18","2018-19","2019-20","2020-21","2021-22","2022-23"
"Applied","18847","21205","23191","27245","26672","26036","35325","37283"
"Offered","14299","15418","16837","17909","19097","17030","19702","21032"
"Enrolled","5442","5057","5912","5304","6392","5416","5494","5726"
"Offered Rate","75.9","72.7","72.6","65.7","71.6","65.4","55.8","56.4"
"Yield","38.1","32.8","35.1","29.6","33.5","31.8","27.9","27.2"
