"Admissions","2015-16","2016-17","2017-18","2018-19","2019-20","2020-21","2021-22","2022-23"
"Applied","2398","2774","3072","3795","4130","4521","5970","6799"
"Offered","1673","1966","2073","2409","2746","2894","3417","3628"
"Enrolled","599","626","620","630","839","894","869","840"
"Offered Rate","69.8","70.9","67.5","63.5","66.5","64","57.2","53.4"
"Yield","35.8","31.8","29.9","26.2","30.6","30.9","25.4","23.2"
