"Admissions","2015-16","2016-17","2017-18","2018-19","2019-20","2020-21","2021-22","2022-23"
"Applied","13340","14768","15854","18733","18423","16956","22571","23466"
"Offered","10255","11098","11715","12270","13068","11535","13091","13344"
"Enrolled","4151","3905","4531","3997","4848","3959","4035","4157"
"Offered Rate","76.9","75.1","73.9","65.5","70.9","68","58","56.9"
"Yield","40.5","35.2","38.7","32.6","37.1","34.3","30.8","31.2"
