"Admissions","2015-16","2016-17","2017-18","2018-19","2019-20","2020-21","2021-22","2022-23"
"Applied","13184","14706","16159","18786","18808","17653","23531","26376"
"Offered","9330","9979","10932","11412","12578","10833","12549","13843"
"Enrolled","3529","3216","3852","3457","4335","3546","3763","3954"
"Offered Rate","70.8","67.9","67.7","60.7","66.9","61.4","53.3","52.5"
"Yield","37.8","32.2","35.2","30.3","34.5","32.7","30","28.6"
