"Admissions","2015-16","2016-17","2017-18","2018-19","2019-20","2020-21","2021-22","2022-23"
"Applied","1951","2358","2602","2631","2200","2140","2640","3242"
"Offered","1459","1330","1898","1966","1992","858","530","1577"
"Enrolled","438","298","478","419","507","95","94","232"
"Offered Rate","74.8","56.4","72.9","74.7","90.5","40.1","20.1","48.6"
"Yield","30","22.4","25.2","21.3","25.5","11.1","17.7","14.7"
