"Admissions","2015-16","2016-17","2017-18","2018-19","2019-20","2020-21","2021-22","2022-23"
"Applied","1471","1740","2012","2499","2555","2565","3686","4154"
"Offered","953","1181","1232","1529","1729","1926","2562","2803"
"Enrolled","369","380","417","448","557","686","710","784"
"Offered Rate","64.8","67.9","61.2","61.2","67.7","75.1","69.5","67.5"
"Yield","38.7","32.2","33.8","29.3","32.2","35.6","27.7","28"
