"Admissions","2015-16","2016-17","2017-18","2018-19","2019-20","2020-21","2021-22","2022-23"
"Applied","3433","3795","4232","4691","5302","4734","6729","8038"
"Offered","2056","2300","2375","2800","3296","3209","4047","4793"
"Enrolled","882","872","924","981","1259","1192","1264","1440"
"Offered Rate","59.9","60.6","56.1","59.7","62.2","67.8","60.1","59.6"
"Yield","42.9","37.9","38.9","35","38.2","37.1","31.2","30"
