"Admissions","2015-16","2016-17","2017-18","2018-19","2019-20","2020-21","2021-22","2022-23"
"Applied","12448","13274","14612","15817","15556","15369","18911","19121"
"Offered","8464","9242","9261","9516","9947","9585","8323","9459"
"Enrolled","4262","4347","4426","4336","5124","4834","4041","4577"
"Offered Rate","68","69.6","63.4","60.2","63.9","62.4","44","49.5"
"Yield","50.4","47","47.8","45.6","51.5","50.4","48.6","48.4"
