"Admissions","2015-16","2016-17","2017-18","2018-19","2019-20","2020-21","2021-22","2022-23"
"Applied","9832","11726","12811","16119","16418","15401","23143","26200"
"Offered","7891","8476","9951","11193","12446","10654","15426","16366"
"Enrolled","2062","1582","2410","1949","2527","1774","2717","2589"
"Offered Rate","80.3","72.3","77.7","69.4","75.8","69.2","66.7","62.5"
"Yield","26.1","18.7","24.2","17.4","20.3","16.7","17.6","15.8"
