"Admissions","2015-16","2016-17","2017-18","2018-19","2019-20","2020-21","2021-22","2022-23"
"Applied","1221","1349","1652","1778","2011","2069","3492","3625"
"Offered","663","770","821","987","1131","1395","2001","2151"
"Enrolled","236","250","264","300","327","430","472","494"
"Offered Rate","54.3","57.1","49.7","55.5","56.2","67.4","57.3","59.3"
"Yield","35.6","32.5","32.2","30.4","28.9","30.8","23.6","23"
