"Admissions","2015-16","2016-17","2017-18","2018-19","2019-20","2020-21","2021-22","2022-23"
"Applied","9055","10227","11163","13060","13115","13094","18466","18831"
"Offered","7002","7699","8218","9233","9773","9391","11163","11919"
"Enrolled","2793","2712","2959","2809","3298","3055","2982","3196"
"Offered Rate","77.3","75.3","73.6","70.7","74.5","71.7","60.5","63.3"
"Yield","39.9","35.2","36","30.4","33.7","32.5","26.7","26.8"
